line_id,speaker,text,translation,chapter,scene,order,source_file,source_row,source_kind
0000000000000,咲季,"こら～っ！ みんな、
わたしの歌を聴きなさーいっ！","给我听好～！大家
都来听我唱歌啊～！",cidol/amao,adv_cidol-amao-3-001_03,4,CSV/cidol/amao/adv_cidol-amao-3-001_03.csv,4,cidol
0000000000000,咲季,"ことね！ 悩んでいるようね！ 
お姉ちゃんが聞いてあげましょうか？","琴音！ 看你很烦恼呢！
让姐姐来听听看吗？",cidol/fktn,adv_cidol-fktn-3-000_02,9,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,9,cidol
0000000000000,咲季,すぅ…………,呼…………,cidol/fktn,adv_cidol-fktn-3-000_02,11,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,11,cidol
0000000000000,咲季,ことね～～～～～～～っ！！,琴音～～～～～～～！！,cidol/fktn,adv_cidol-fktn-3-000_02,12,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,12,cidol
0000000000000,咲季,"わたしを無視するからよ。……ふーん、
なにを聴いているのかと思ったら。","谁让你无视我。……哼，
我还在听你在听什么呢。",cidol/fktn,adv_cidol-fktn-3-000_02,15,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,15,cidol
0000000000000,咲季,"よさそうな曲じゃない。
あ、それが歌詞？","好像是首不错的曲子呢。
啊，这是歌词吗？",cidol/fktn,adv_cidol-fktn-3-000_02,16,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,16,cidol
0000000000000,咲季,ふんふん……,嗯嗯……,cidol/fktn,adv_cidol-fktn-3-000_02,17,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,17,cidol
0000000000000,咲季,"ことねにしか歌えない、
ことねらしい曲だと思うわ。","我觉得这是只有琴音能唱，
充满琴音风格的曲子哦。",cidol/fktn,adv_cidol-fktn-3-000_02,19,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,19,cidol
0000000000000,咲季,"あなたが歌に合わせる
必要なんてないでしょ。","你根本不需要
刻意去配合歌曲啊。",cidol/fktn,adv_cidol-fktn-3-000_02,22,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,22,cidol
0000000000000,咲季,"ありのままで歌いなさいよ。
自分の歌なんだから。","按照自己的方式唱就好了。
因为这是属于你自己的歌。",cidol/fktn,adv_cidol-fktn-3-000_02,23,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,23,cidol
0000000000000,咲季,"納得できない？ じゃあ、
もう少し言わせてもらうけど。","还是不能接受？那让我
再多说两句好了。",cidol/fktn,adv_cidol-fktn-3-000_02,25,CSV/cidol/fktn/adv_cidol-fktn-3-000_02.csv,25,cidol
