id,name,text,trans
0000000000000,広,千奈、悩んでる？,千奈，你在烦恼吗？
0000000000000,千奈,まあ……篠澤さん。\nどうしておわかりになりましたの？,哎呀……筱泽同学。\n您是怎么看出来的呢？
0000000000000,広,友達だから。いつもよく見てるから。\n様子がおかしくなったらすぐわかる。,因为我们是朋友。因为我一直在关注着你。\n只要状态不对劲立刻就能发现。
0000000000000,千奈,……もう、篠澤さんの友情は、\nくすぐったいですわね。,……真是的，筱泽同学的友情，\n总是让人心里痒痒的呢。
0000000000000,広,ふふ……いま、自分でも言ってて\n照れくさくなった。でも言う。,呵呵…现在连我自己说出来\n都觉得害羞了。但我还是要说。
0000000000000,広,千奈の悩み、いっしょに解決しよ。,千奈的烦恼，我们一起解决吧。
0000000000000,千奈,はい……篠澤さん。,好的……筱泽同学。
0000000000000,千奈,どうか、わたくしの悩みを\n聞いてくださいませ――……,恳请您\n倾听我的烦恼——……
0000000000000,広,……ふむふむ。千奈の意見をもとに、\n新曲の発注資料を作る、から。,……嗯嗯。要以千奈的意见为基础，\n制作新曲的订购资料，是吧。
0000000000000,広,千奈は、どんな曲にするか、\n考えなくちゃいけない。,千奈必须考虑\n要创作什么样的曲子呢。
0000000000000,千奈,はいっ、そうなのです！,是的，正是如此！
0000000000000,広,新曲披露は、選挙中にある例のライブ\n……ってことで合ってる？,新曲披露是在选举期间的那场演唱会\n……我说得对吗？
0000000000000,千奈,合ってますわ。,完全正确。
0000000000000,広,……超タイトスケジュール、だね。,……这行程安排真是紧张到极致啊。
0000000000000,千奈,そうなのですぅ～～～～～～～！,就是说啊～～～～～～～！
0000000000000,千奈,発注資料ができ次第、\nプロフェッショナルな皆さまが、大急ぎ\nで作ってくださるそうなのですが！,据说只要订购资料完成，\n专业的各位老师就会火速\n为我们制作！
0000000000000,千奈,わたくし！　ライブまでに！\n新曲を習得する自信が！,但是！在演唱会之前！\n我实在没有信心能掌握新曲！
0000000000000,千奈,まったくございませんわぁ～～～！,完全完全没有把握啊～～～！
0000000000000,広,おぉ……思いのほか深刻な状況だった。,噢…这情况比想象中还要严峻呢。
0000000000000,広,今日中……というか、1秒でも早く\n資料を作らないと詰む、ね。,必须今天之内…不，哪怕提早一秒\n完成资料也好，否则就完蛋了呢。
0000000000000,千奈,そうなのです……なのに先生ったら、\nなにもヒントをくださらなくて……,原来如此……可是老师却\n完全不给我任何提示……
0000000000000,広,千奈のプロデューサーはわたしの同類。\nその意図を推察するのはたやすい。,千奈的制作人和我是同类。\n推测其意图易如反掌。
0000000000000,千奈,さすが篠澤さんですわ！　\nさっそく教えてくださいませ！,真不愧是筱泽同学！\n请您立刻告诉我吧！
0000000000000,広,ん～……身もふたもない感じに\nなっちゃうから、むり。,嗯～……这样会变得太直白无情\n所以不行。
0000000000000,広,プロデューサーもたぶん同じ理由で\nなにも言えない。,制作人大概也是出于同样理由\n才什么都没说。
0000000000000,広,千奈には自力で答えに\nたどりついてほしい。,希望千奈能靠自己的力量\n找到答案。
0000000000000,千奈,そんなぁ……,怎么这样……
0000000000000,広,千奈……目をつむって。,千奈……闭上眼睛。
0000000000000,千奈,えっ……はい……こう、でしょうか？,呃……好的……像这样，对吗？
0000000000000,広,新曲を披露するステージから見える\n光景を想像して。,想象一下在新曲发布的舞台上\n所能看到的景象。
0000000000000,広,選挙のライブや、『H.I.F』本戦を、\n心に思い描いて。,在心中描绘选举演唱会\n和『H.I.F』决赛的场景。
0000000000000,広,『N.I.A』のときとは、違うはず。\nいつもとは、違うはず。,应该和『N.I.A』时有所不同。\n应该和平常有所不同。
0000000000000,広,<em\=>目の前にいるひとたち</em>を、よく見て。,<em>请仔细看清眼前的人们</em>。
0000000000000,広,あとは……想いを言葉にするだけ。\n千奈なら、きっとできる。,接下来……只需将心意化作言语。\n千奈的话，一定能够做到。
0000000000000,広,……これが、\nわたしに言える……ぎりぎり。,……这已经是\n我能说的……极限了。
0000000000000,千奈,…………ありがとうございます、\n篠澤さん。,…………非常感谢您，\n筱泽同学。
0000000000000,広,……ぴんときた？,……突然明白了？
0000000000000,千奈,いいえっ、まったく！,不！完全没懂！
0000000000000,千奈,ですがっ！　わたくし、\nやれる気がしてまいりましたわ！,但是！我感觉自己\n能够做到了！
0000000000000,千奈,先生は、わたくしの新曲を――\n『選挙やH.I.Fで\n強い武器になりますよ』,老师说过，我的新曲——\n『在选举和H.I.F中\n会成为强大的武器哦』
0000000000000,千奈,『理由はやってみればわかります』と\nおっしゃいました。,『理由只要尝试一下就会明白』\n您这样说了。
0000000000000,千奈,篠澤さんからも、大切なアドバイスを\nいただきました。,筱泽同学也给了我\n宝贵的建议。
0000000000000,千奈,真剣に、わたくしのことを\n想ったものをです。,是认真为我\n着想的建议。
0000000000000,千奈,なら、やれないわけがありませんわ。,既然如此，怎么可能做不到呢。
0000000000000,千奈,いま、ここで、\nすぐに答えを出しますので――,现在，就在这里，\n我立刻给出答复——
0000000000000,千奈,発注資料作り、\n手伝ってくださいませぇ～～～～～！,请协助我制作订购资料\n拜托了嘛～～～～～！
0000000000000,広,……任せて、千奈会長。,……交给我吧，千奈会长。
0000000000000,広,来年の生徒会は、こんなふうに、\nままならない日々が続きそう。,明年的学生会，恐怕会像这样\n持续着不尽人意的日子呢。
info,adv_cidol-kcna-3-014_02.txt,,
译者,,,
